id,speed
0,48.22063
1,48.28073
2,39.43714
3,30.59254
4,39.120834
5,28.417738
6,20.501053
7,49.06825
8,48.285553
9,32.417458
10,29.00659
11,23.742712
12,24.549513
13,23.873606
14,26.290354
15,40.40951
16,44.07347
17,47.755844
18,48.386993
19,47.8483
20,46.46341
21,44.069214
22,21.363466
23,27.38275
24,26.025593
25,21.725904
26,22.538637
27,21.349257
28,18.120697
29,14.62731
30,25.748615
31,47.039825
32,48.795612
33,28.077684
34,26.062551
35,24.742176
36,20.420958
37,20.784746
38,45.275177
39,39.4523
40,44.17687
41,47.910385
42,48.457893
43,44.707058
44,20.102394
45,18.46625
46,18.836237
47,10.050648
48,43.277355
49,48.61013
50,48.974148
51,23.265041
52,22.540386
53,20.566097
54,18.134544
55,17.298685
56,17.064953
57,16.135605
58,29.251211
59,34.227783
60,42.87876
61,41.063625
62,42.831158
63,42.78176
64,45.93359
65,47.95398
66,47.586266
67,46.020084
68,43.0273
69,25.272379
70,22.525055
71,20.992655
72,16.38206
73,15.568444
74,12.664976
75,5.9889464
76,40.899403
77,35.7156
78,37.62712
79,47.896946
80,13.737956
81,15.535861
82,22.37148
83,15.421145
84,14.246117
85,9.850351
86,22.477978
87,38.102608
88,44.624886
89,39.08943
90,47.63122
91,46.652863
92,45.26029
93,44.690548
94,27.470152
95,14.608132
96,24.67144
97,11.403413
98,10.058615
99,21.37584
100,40.362175
101,47.66331
102,14.293088
103,17.874367
104,14.491989
105,43.21291
106,29.779043
107,48.771828
108,42.848244
109,13.331611
110,10.303698
111,8.780037
112,20.394413
113,27.936085
114,35.94344
115,49.370373
116,49.24276
117,44.126408
118,27.842554
119,22.976568
120,20.129984
121,16.328917
122,31.217182
123,47.481342
124,47.41123
125,43.376244
126,42.650036
127,36.557045
128,41.85169
129,34.595066
130,48.088543
131,47.27745
132,46.554043
133,28.175737
134,23.60486
135,23.124903
136,40.91451
137,47.65405
138,49.138134
139,47.773834
140,46.848846
141,44.95093
142,29.478596
143,16.148808
144,20.508595
145,17.700035
146,17.591457
147,48.616386
148,48.90483
149,47.676197
150,47.50639
151,14.460837
152,15.222043
153,14.968413
154,8.11808
155,21.029198
156,35.185837
157,41.263203
158,35.803844
159,42.093475
160,48.73325
161,49.179348
162,48.639996
163,47.821728
164,44.853447
165,29.217844
166,15.778662
167,20.157286
168,18.172579
169,18.432554
170,12.554965
171,11.980149
172,46.038315
173,48.130215
174,44.34359
175,27.24875
176,23.1213
177,16.466341
178,18.048058
179,10.301247
180,46.48888
181,48.959774
182,49.225773
183,48.756603
184,42.1449
185,19.446981
186,18.979277
187,39.697987
188,33.455883
189,47.91702
190,43.869446
191,43.53966
192,37.545197
193,39.16833
194,37.918312
195,37.417427
196,38.225594
197,43.829163
198,38.978626
199,47.99794
200,46.92728
201,28.465786
202,25.45052
203,18.252033
204,17.80113
205,19.055208
206,40.688313
207,41.55162
208,48.792564
209,48.959427
210,47.71197
211,46.736217
212,28.897207
213,14.916792
214,22.644812
215,20.815763
216,16.333107
217,22.732834
218,44.86923
219,48.189785
220,47.240173
221,44.945812
222,29.930378
223,18.180529
224,12.775134
225,24.66656
226,46.301193
227,48.23649
228,18.850986
229,24.208492
230,19.632874
231,18.421349
232,43.73682
233,48.507175
234,47.15148
235,19.44594
236,23.222273
237,20.082197
238,22.564325
239,43.12231
240,33.17539
241,36.093857
242,48.621822
243,49.68743
244,48.51484
245,48.596165
246,27.874083
247,24.390453
248,22.059265
249,19.862818
250,19.803482
251,32.189262
252,43.340374
253,33.002975
254,35.256824
255,46.88788
256,46.734783
257,45.2007
258,42.937508
259,43.18355
260,41.69425
261,38.360226
262,39.16464
263,43.691753
264,30.908861
265,39.422012
266,48.0244
267,43.475925
268,18.94678
269,21.93378
270,20.403416
271,18.626808
272,18.77586
273,15.725853
274,46.523617
275,47.55196
276,48.07477
277,47.56127
278,26.671604
279,14.760341
280,16.455957
281,22.31089
282,20.043243
283,15.504497
284,11.879111
285,14.009668
286,49.34557
287,48.397434
288,10.936826
289,14.672827
290,15.867773
291,12.009795
292,11.218484
293,25.836807
294,47.528126
295,49.546627
296,48.048492
